date,SVI,SGI
199003,0.109038519,0.174768062
199004,-0.002027859,0.148891959
199005,0.104479547,0.159851774
199006,0.148696211,0.161501081
199007,0.149322734,0.163026024
199008,0.173830056,0.161872883
199009,0.12109731,0.154350245
199010,0.093766936,0.141492314
199011,0.062712089,0.109549514
199012,0.009221145,0.047218804
199101,0.14037593,0.037479955
199102,0.235652149,0.133908366
199103,0.271100234,0.091410065
199104,0.219099384,0.099401569
199105,0.140959013,0.067903594
199106,0.176297396,0.069759364
199107,0.194173697,0.079242464
199108,0.248732865,0.076507013
199109,0.294647122,0.068378731
199110,0.331687553,0.0819683
199111,0.287192019,0.101320176
199112,0.079105446,0.083350445
199201,-0.045510075,0.102919391
199202,-0.217602172,-0.027291632
199203,-0.368050878,-0.094769914
199204,-0.447326353,-0.089708776
199205,-0.410021736,-0.121307756
199206,-0.305344603,-0.122533419
199207,-0.197583683,-0.125051819
199208,-0.177647339,-0.127860714
199209,-0.155962654,-0.127699354
199210,-0.039988052,-0.148056582
199211,0.007853206,-0.141520599
199212,-0.064948983,-0.097245906
199301,-0.051353216,-0.148723105
199302,-0.02032736,-0.157175425
199303,-0.010994611,-0.083642678
199304,-0.072748993,-0.104128305
199305,-0.055721907,-0.095663481
199306,0.003074301,-0.110887319
199307,-0.068688339,-0.118967146
199308,-0.056967976,-0.118406325
199309,-0.036006357,-0.121450319
199310,0.072358671,-0.124968758
199311,0.226099124,-0.09926142
199312,0.243262623,-0.043695054
199401,0.266444986,-0.197524821
199402,0.197911181,-0.086921495
199403,0.071929457,-0.113030088
199404,-0.19088272,-0.170876805
199405,-0.322196463,-0.20871828
199406,-0.332359789,-0.226062594
199407,-0.089484389,-0.222790829
199408,0.210399809,-0.220036374
199409,0.3665526,-0.22505165
199410,0.336491047,-0.237616451
199411,0.215407709,-0.217785086
199412,0.010869409,-0.26956911
199501,-0.084076773,-0.290541951
199502,-0.19422688,-0.359806309
199503,-0.22548967,-0.295149981
199504,-0.217853791,-0.289910707
199505,-0.150376573,-0.336454702
199506,-0.03060803,-0.326304517
199507,0.061321337,-0.335654981
199508,0.146012715,-0.340057136
199509,0.150620139,-0.335705147
199510,0.070757605,-0.344784323
199511,0.050849174,-0.306884015
199512,0.009911876,-0.341116485
199601,0.107984328,-0.312354847
199602,0.141924464,-0.237214197
199603,0.105469888,-0.218480247
199604,0.002748947,-0.245042915
199605,0.009536298,-0.250233466
199606,0.159112546,-0.24862264
199607,0.32797331,-0.255061915
199608,0.424058038,-0.241344335
199609,0.377368064,-0.250313254
199610,0.148417255,-0.261437476
199611,0.136953416,-0.309822883
199612,0.15336079,-0.214645588
199701,0.217746012,-0.271695264
199702,0.205033747,-0.175966257
199703,0.214965607,-0.179227785
199704,0.258406797,-0.088345436
199705,0.30758892,-0.101214324
199706,0.288638352,-0.099126187
199707,0.333431688,-0.106093441
199708,0.402294806,-0.104653617
199709,0.501071498,-0.11358778
199710,0.495155654,-0.089021303
199711,0.424598276,-0.071015029
199712,0.209066155,-0.102407725
199801,0.15128245,-0.088523
199802,0.079327819,0.016088937
199803,0.063422288,-0.05250274
199804,0.050823318,-0.065146203
199805,0.067335058,-0.104602494
199806,0.096288946,-0.109978323
199807,0.084613323,-0.11687019
199808,0.194096172,-0.116843061
199809,0.278590701,-0.116613392
199810,0.238192941,-0.091084426
199811,0.278398208,-0.132699244
199812,0.275153792,-0.100509936
199901,0.316748637,-0.130591592
199902,0.262446418,-0.133533026
199903,0.159218953,-0.192884301
199904,0.008216473,-0.127650259
199905,-0.054376198,-0.135283641
199906,-0.096465886,-0.124361557
199907,-0.140768703,-0.130727983
199908,0.006314058,-0.130177105
199909,0.160266623,-0.128199958
199910,0.186118103,-0.141383056
199911,0.250224206,-0.136207361
199912,0.306053736,-0.113216908
200001,,-0.116546833
200002,0.252562296,-0.136012823
200003,0.382215414,-0.115177819
200004,0.399412809,-0.06178061
200005,0.323039597,-0.093913562
200006,0.317341258,-0.10070483
200007,0.140661968,-0.105142579
200008,0.097467618,-0.108127728
200009,0.101878544,-0.120839004
200010,0.012954097,-0.11162192
200011,0.024311308,-0.153896389
200012,-0.333242623,-0.064279959
200101,-0.321888107,-0.088899438
200102,-0.006679535,-0.0924052
200103,0.377223146,0.026411737
200104,0.493214352,0.044058223
200105,0.673552664,0.099710775
200106,0.284070657,0.100845496
200107,0.16955667,0.093171116
200108,0.197530806,0.100168209
200109,0.186713868,0.104201128
200110,0.350902415,0.118021833
200111,0.373073538,0.082241222
200112,-0.130828185,0.117949908
200201,-0.214242634,0.071605427
200202,-0.164288601,0.065593808
200203,-0.367943837,0.012894384
200204,-0.398673512,0.013852859
200205,-0.340470796,0.043929623
200206,-0.325888692,0.059373868
200207,-0.213904837,0.064787357
200208,-0.090130692,0.064097252
200209,-0.164334208,0.089543863
200210,-0.236124521,0.093473702
200211,-0.334475738,0.082838735
200212,-0.430431616,0.067844781
200301,-0.311199437,0.058335412
200302,-0.366934628,-0.012011083
200303,-0.339572642,-0.028204862
200304,-0.370255947,-0.013426818
200305,-0.335147517,-0.021977038
200306,-0.349493156,-0.028973103
200307,-0.4543942,-0.015302503
200308,-0.522028417,-0.014478476
200309,-0.578833918,-0.0125641
200310,-0.406025698,-0.017387041
200311,-0.427878321,0.039272258
200312,-0.324474097,-0.065818877
200401,-0.214158625,-0.111830297
200402,0.092480933,0.004661757
200403,0.226783916,-0.021494398
200404,0.085917491,-0.005036524
200405,-0.026641324,0.015725566
200406,-0.03391803,0.00340949
200407,-0.132655257,0.000646704
200408,-0.186109097,0.001317488
200409,-0.243488054,0.006369662
200410,-0.195900072,0.028264869
200411,-0.151913795,0.022828998
200412,-0.213719021,-0.027620709
200501,-0.352840395,0.051223501
200502,-0.396676446,0.024159356
200503,-0.253056311,-0.079278399
200504,-0.320546519,-0.108344672
200505,-0.399965105,-0.129690765
200506,-0.427880142,-0.134565035
200507,-0.444304097,-0.140987795
200508,-0.530820762,-0.145319806
200509,-0.611101391,-0.152564422
200510,-0.583861925,-0.166147072
200511,-0.246206769,-0.200318531
200512,0.111975386,-0.138031211
200601,0.34724016,-0.156291091
200602,0.433377093,-0.111412184
200603,0.43999906,-0.090307925
200604,0.411237684,-0.073247862
200605,0.263477681,-0.039972656
200606,0.345898457,-0.032919567
200607,0.277622403,-0.043756696
200608,0.226880188,-0.048389122
200609,0.272760765,-0.022001197
200610,0.266106473,-0.037342633
200611,0.076147046,-0.020911077
200612,-0.093491413,0.051270908
200701,-0.304373842,0.0394018
200702,-0.429522002,0.025835232
200703,-0.325808919,-0.037386205
200704,-0.395995625,-0.053704486
200705,-0.439298928,-0.075034545
200706,-0.413755059,-0.081932003
200707,-0.419588672,-0.064854433
200708,-0.379661339,-0.069359808
200709,-0.191719385,-0.072743655
200710,-0.073901979,-0.040851387
200711,0.054947669,-0.036682649
200712,0.110901543,-0.054974689
200801,0.136705795,-0.028731124
200802,0.063710721,0.062995647
200803,-0.077850976,0.071877919
200804,-0.136245611,0.097332587
200805,-0.08495111,0.072286644
200806,-0.06304758,0.090801166
200807,-0.089318158,0.088792029
200808,-0.189659892,0.088555025
200809,-0.246417035,0.084239617
200810,-0.142250659,0.067969626
200811,0.040383129,0.041676373
200812,-0.005202067,0.110417374
200901,0.158827492,0.063545275
200902,0.256086636,0.022628226
200903,0.018220353,0.087087862
200904,0.038697132,0.064713087
200905,0.080954434,0.044614946
200906,0.054797206,0.065001755
200907,-0.002722895,0.077598047
200908,-0.049841138,0.073012609
200909,0.140762882,0.065263442
200910,0.1600313,0.06767052
200911,0.055231877,0.103745086
200912,0.021662843,0.113834581
201001,0.010534418,0.069492552
201002,0.133653525,0.072138922
201003,0.25968895,0.052634322
201004,0.37072248,0.040648629
201005,0.330771478,0.0608894
201006,0.165639206,0.067317735
201007,0.106243321,0.067501096
201008,-0.067410374,0.066411354
201009,-0.190351632,0.057746621
201010,-0.219340104,0.041616758
201011,0.147503145,-0.004749228
201012,0.385659115,0.058075197
201101,0.376016125,0.025360036
201102,0.272667497,0.047697736
201103,0.374209399,0.062818941
201104,0.445014289,0.086468779
201105,0.360927314,0.12702918
201106,0.17916484,0.131560351
201107,0.183216233,0.136881769
201108,0.188110239,0.136435686
201109,0.223581429,0.134056732
201110,0.044724353,0.137773709
201111,0.102777232,0.122603518
201112,0.001984391,0.121948834
201201,0.05998874,0.159109883
201202,-0.090411978,0.07323587
201203,-0.089973865,0.108162403
201204,-0.187453909,0.093092113
201205,-0.247225374,0.058036481
201206,-0.207260917,0.054724446
201207,-0.194808487,0.073023989
201208,-0.080477325,0.071021587
201209,0.013580739,0.092042254
201210,-0.095873128,0.116447253
201211,0.070692119,0.143297841
201212,0.112007819,0.05923458
201301,-0.168749154,0.094095851
201302,-0.310180455,0.107187999
201303,-0.400190788,0.038638707
201304,-0.315502371,0.045545592
201305,-0.260294107,0.032612087
201306,-0.167269248,0.048044617
201307,-0.197832373,0.039592522
201308,-0.262286598,0.040903896
201309,-0.357655557,0.035242972
201310,-0.299145678,0.037015751
201311,-0.063383775,0.034191573
201312,0.03453283,0.020071009
201401,0.176136539,0.108790216
201402,0.292803104,0.050805329
201403,0.297249663,0.088881831
201404,0.21480688,0.064486899
201405,0.058064215,0.086999788
201406,0.024202761,0.085721049
201407,0.026897469,0.078084139
201408,-0.101315475,0.074138512
201409,-0.181824536,0.089681063
201410,-0.12262714,0.08318403
201411,-0.101324951,0.059649938
201412,-0.141819134,0.067433456
201501,-0.307285302,0.068181632
201502,-0.445125759,-0.031619185
201503,-0.093805115,-0.079149249
201504,-0.026166789,-0.063563433
201505,-0.095790178,-0.035580516
201506,-0.10953925,-0.03836739
201507,-0.134138364,-0.017509898
201508,-0.083609135,-0.019841854
201509,-0.215240688,-0.01633294
201510,-0.520770833,-0.011215644
201511,-0.566706716,-0.074067891
201512,-0.612337854,-0.091098118
201601,-0.380184526,-0.099809055
201602,-0.114280925,-0.071713074
201603,-0.015535833,-0.089928225
201604,-0.103850929,-0.089466527
201605,-0.124368975,-0.111281119
201606,-0.193783824,-0.111942693
201607,-0.27828512,-0.118398174
201608,-0.305251891,-0.114666874
201609,-0.431209762,-0.121628908
