timestep,ndvi,wtd
184,5762.98434930556,-4.84246774101825
185,5388.74872013889,-4.80944881710842
186,5064.54614097222,-4.81614796840409
187,5007.76378333333,-4.82148918490042
188,5283.92214722222,-4.85009704689394
189,5656.99339236111,-4.86759453228274
190,5904.64769722222,-4.85468835742692
191,5935.38231180556,-4.86597407692634
192,5819.03136319445,-4.83661538362023
193,5801.88308472222,-4.87575138377422
194,5868.44457013889,-4.90354379101176
195,5884.46164861111,-4.85715196733511
196,5681.71106875,-4.84052983743112
197,5252.91803472222,-4.82495194105491
198,4923.55670694444,-4.82315683309402
199,4967.28525833333,-4.82148688293741
